,titles,votes,ratings
0,The Shawshank Redemption,3.2M,9.3
1,The Godfather,2.2M,9.2
2,The Dark Knight,3.1M,9.1
3,The Godfather: Part II,1.5M,9.0
4,12 Angry Men,974K,9.0
5,The Lord of the Rings: The Return of the King,2.1M,9.0
6,Schindler's List,1.6M,9.0
7,The Lord of the Rings: The Fellowship of the Ring,2.2M,8.9
8,Pulp Fiction,2.4M,8.8
9,"The Good, the Bad and the Ugly",885K,8.8
10,The Lord of the Rings: The Two Towers,1.9M,8.8
11,Forrest Gump,2.5M,8.8
12,Fight Club,2.6M,8.8
13,Inception,2.8M,8.8
14,Star Wars: Episode V - The Empire Strikes Back,1.5M,8.7
15,The Matrix,2.2M,8.7
16,GoodFellas,1.4M,8.7
17,Interstellar,2.5M,8.7
18,One Flew Over the Cuckoo's Nest,1.2M,8.6
19,Se7en,2M,8.6
20,It's a Wonderful Life,552K,8.6
21,The Silence of the Lambs,1.7M,8.6
22,Shichinin no samurai,399K,8.6
23,Saving Private Ryan,1.6M,8.6
24,The Green Mile,1.5M,8.6
